Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-02,39.68174362182617,40.24183655757359,39.495048134744195,39.59688233108443,27913900
2015-01-05,39.316837310791016,39.65628570953198,39.24894568869239,39.350779884589606,39673900
2015-01-06,38.739768981933594,39.673256065034195,38.64641962617343,39.359265426136794,36447900
2015-01-07,39.231971740722656,39.427155293193834,38.60399043925027,39.01981528317781,29114100
2015-01-08,40.386104583740234,40.52188459109996,39.647800996049874,39.67325873578897,29645200
2015-01-09,40.04664993286133,40.58128508790158,39.800550913652756,40.40307444863832,23944200
2015-01-12,39.54596710205078,40.34367754928058,39.34229869140774,40.24184010670803,23651900
2015-01-13,39.34228515625,40.65765424972645,39.08769811190776,39.85994731418749,35270600
2015-01-14,39.00283432006836,39.24045170475696,38.71430146792861,39.00283432006836,29719600
2015-01-15,38.59550094604492,39.35926545996587,38.53609739910112,39.223485461629984,32750800
2015-01-16,39.240455627441406,39.2743981967186,38.3324231077078,38.45123343055399,35695300
2015-01-20,39.36774826049805,39.58839276968071,38.67187540030723,39.291371813050255,36161900
2015-01-21,38.968894958496094,39.15559366934489,38.595500774049015,38.98586786286876,39081100
2015-01-22,39.99573516845703,40.00422000213215,39.10467871904467,39.35926581355527,35898000
2015-01-23,40.03816223144531,40.216372857943526,39.71568354736503,40.19091512194385,26211600
2015-01-26,39.89389419555664,39.995731614111214,39.24045523137454,39.88540936263555,42525500
2015-01-27,36.20236587524414,36.660624449712316,35.73562246965599,36.448468061967745,169164000
2015-01-28,34.95490264892578,36.31270614755077,34.92944490566601,36.27027549636744,84507100
2015-01-29,35.65077590942383,35.74412528495887,34.615454417651726,34.73426153660498,63585300
2015-01-30,34.28447723388672,35.28585575049058,34.24204336198408,35.260394779899016,78004900
2015-02-02,35.031280517578125,35.10765698766447,34.140223858071664,34.445729738417036,50352500
2015-02-03,35.30283737182617,35.5828854824379,34.83609375805763,35.32829835104152,52082400
2015-02-04,35.506500244140625,35.82049085402081,35.09916028712709,35.591361521216285,41614800
2015-02-05,36.024166107177734,36.185403844885286,35.52347675221682,35.82898256029474,36548200
2015-02-06,35.9902229309082,36.31270166716514,35.76958162962763,36.21935230372886,34616600
2015-02-09,35.94779586791992,36.27027463631871,35.82050068013719,35.845961660044395,31381100
2015-02-10,36.15144729614258,36.29571532365502,35.79502611743463,36.27025759296147,29670700
2015-02-11,35.96477127075195,36.19390068230769,35.82050316543849,36.19390068230769,38262500
2015-02-12,36.567291259765625,36.567291259765625,36.07508666908868,36.20238185281575,33268800
2015-02-13,37.22920227050781,37.22920227050781,36.61819407093954,36.81337756053423,40264900
2015-02-17,37.246315002441406,37.60527286025954,36.912992799809686,37.57963394478377,33695700
2015-02-18,37.20357894897461,37.34887374330704,37.08392633028281,37.28904743396114,27111700
2015-02-19,37.17793273925781,37.20357164957871,36.79333278300086,36.90444016153924,27603400
2015-02-20,37.48561477661133,37.50270847119983,36.99845589185008,37.18648001174585,29721100
2015-02-23,37.73346710205078,37.767651229710765,37.306134533557746,37.34886713834929,32518800
2015-02-24,37.68217468261719,37.86165352491481,37.53687995769451,37.73345574911127,25271700
2015-02-25,37.59671401977539,37.68217921392166,37.43432558649405,37.562526638001614,29759800
2015-02-26,37.65654754638672,37.80183905642213,37.511252776062506,37.59672124692639,28957300
2015-02-27,37.4770622253418,37.776196957690736,37.31467703483593,37.71637066327865,33807700
2015-03-02,37.50270080566406,37.76764486690921,37.22065979303615,37.32321867931529,31924000
2015-03-03,36.989906311035156,37.45997474747506,36.82752110772151,37.229214767846955,31748600
2015-03-04,36.8018798828125,36.93007768990842,36.64803990606652,36.759144020158615,25748700
2015-03-05,36.84461212158203,36.955719494866244,36.59675846590514,36.810424735911724,23193500
2015-03-06,36.20362091064453,36.84461985520895,36.02414198863591,36.75060615502655,36248800
2015-03-09,36.62240219116211,36.86171066203674,36.058323294575224,36.058323294575224,32108000
2015-03-10,35.92158508300781,36.50275780554606,35.92158508300781,36.19507774534467,39159700
2015-03-11,35.87882995605469,36.2121487253911,35.75917739888651,36.16087092105483,32215300
2015-03-12,35.05835723876953,35.596797079342714,34.921610974846445,35.32330455149655,59992500
2015-03-13,35.36603546142578,35.442955434983,34.70794307883357,34.78486305239079,58007700
2015-03-16,35.5198860168457,35.588257535822976,35.280577549702954,35.4429660203157,35273500
2015-03-17,35.63953399658203,35.75064136833063,35.16946886112203,35.35749295913293,31673400
2015-03-18,36.323265075683594,36.605306110621484,35.323308519715006,35.408773721660054,44194800
2015-03-19,36.14379119873047,36.4001901003468,36.083964897029624,36.11814902636659,33879100
2015-03-20,36.648040771484375,36.7335059782332,36.314721900759864,36.37454819754177,71904500
2015-03-23,36.630958557128906,36.86171860001043,36.5625837620723,36.648052255893056,26246100
2015-03-24,36.6651496887207,36.89590649481336,36.53694856507811,36.56258748569063,25513300
2015-03-25,35.43440628051758,36.69076473776509,35.41731259113398,36.68221626292935,43469900
2015-03-26,35.22074890136719,35.56261625434301,34.972895233474155,35.229297378350374,37495600
2015-03-27,35.01563262939453,35.40877782031078,34.895980028706006,35.1438304471513,34401400
2015-03-30,35.007080078125,35.50278737790586,34.96434747717904,35.12673266488908,35049700
2015-03-31,34.75068664550781,35.0669118542966,34.6481277351445,34.853245555871126,34887200
2015-04-01,34.80196762084961,34.836151750670034,34.45155502295079,34.699405450521446,36865300
2015-04-02,34.434452056884766,34.81905194134464,34.289157318182994,34.75067717953485,37487500
2015-04-06,35.511322021484375,35.70789453554265,34.340432150664455,34.47717838915228,39223700
2015-04-07,35.49424362182617,35.819017300725484,35.306219500601436,35.56261840066346,28809400
2015-04-08,35.40022659301758,35.63098655940065,35.07545620503127,35.434413979212536,24753400
2015-04-09,35.45150375366211,35.57115633183001,35.25493119520224,35.25493119520224,25723900
2015-04-10,35.65663146972656,35.85320406502306,35.391684096784935,35.57971147502021,28022000
2015-04-13,35.69081497192383,35.94721712330465,35.374589781586614,35.38313825878666,30276700
2015-04-14,35.59680938720703,35.92157983863611,35.37459459381952,35.72500722004823,24244400
2015-04-15,36.11814880371094,36.28908249049772,35.62244469834706,35.690816216888436,27343600
2015-04-16,36.032691955566406,36.18653198336007,35.742105598654994,35.853213009903676,22509700
2015-04-17,35.57114791870117,35.673710041691756,35.17800289476633,35.61388050647018,42387600
2015-04-20,36.67367172241211,36.89588316790718,35.62243425815906,35.6651668522595,46057700
2015-04-21,36.44291305541992,36.87879400698573,36.34889938899247,36.75059295998683,26013800
2015-04-22,36.74205780029297,36.861710404750646,36.36600303166717,36.46856194116105,25064300
2015-04-23,37.041194915771484,37.27195494226342,36.57967486278761,36.65659487161825,46309500
2015-04-24,40.912818908691406,41.143578885299455,39.01546453483982,39.0240097516229,130933700
2015-04-27,41.04957580566406,41.13504429702198,40.35729895725762,40.36584417624862,59248200
2015-04-28,42.01533889770508,42.05807150340577,40.7675285536274,40.83590007069074,60730800
2015-04-29,41.929874420166016,42.14354071269793,41.45126075119054,41.639288131911066,47804600
2015-04-30,41.57090377807617,42.340103558132014,41.536716396676326,41.62218485017594,64725500
