Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2015-01-02,0.4824230670928955,0.4860178989724025,0.47475413050855675,0.4824230670928955,113680000
2015-01-05,0.47427475452423096,0.4838609237470203,0.47211788430469875,0.48242299122136373,197952000
2015-01-06,0.4598955512046814,0.47547303002666463,0.4594162498777956,0.47499372869977885,197764000
2015-01-07,0.4586973488330841,0.4673248882197394,0.4572594160789891,0.4632507549394561,321808000
2015-01-08,0.4759523570537567,0.47882822230826705,0.463730015428952,0.46396968038981273,283780000
2015-01-09,0.4778696298599243,0.4814644617201365,0.47115932466912314,0.4776299934485482,209540000
2015-01-12,0.47187820076942444,0.479307470911026,0.46756443193136393,0.47906780597654147,190732000
2015-01-13,0.47115927934646606,0.48505918978269086,0.46780414135828785,0.4754730485948054,236720000
2015-01-14,0.47307655215263367,0.4745144848764987,0.4649283429012827,0.4661266106481847,155260000
2015-01-15,0.46972131729125977,0.4793074572950975,0.4694816523635835,0.47643162100773634,188932000
2015-01-16,0.478348970413208,0.478828271815531,0.4675645317316734,0.4690024645076,181512000
2015-01-20,0.47978684306144714,0.48434022009735767,0.4737954762919059,0.48170404843047177,140308000
2015-01-21,0.48649704456329346,0.48769534058904146,0.47379540380744184,0.4771505698278468,144780000
2015-01-22,0.49488508701324463,0.49632301980065624,0.48242307903956505,0.48745578665758993,159712000
2015-01-23,0.496322900056839,0.4972815026378672,0.4912901365151126,0.4953642403379089,120416000
2015-01-26,0.49416616559028625,0.496562701408093,0.49105066331334535,0.49416616559028625,133240000
2015-01-27,0.4704402685165405,0.48697637663767057,0.4694816374053295,0.48649704679759015,357948000
2015-01-28,0.46277138590812683,0.4781092282905965,0.4625317209611534,0.47619199442166865,272728000
2015-01-29,0.47403520345687866,0.476671375469719,0.46085422911684554,0.4630111282934871,235340000
2015-01-30,0.46013525128364563,0.47619206222433336,0.4594163134782655,0.47068002477969106,298200000
2015-02-02,0.47020068764686584,0.47211792164305183,0.4539042415327172,0.4630110815878845,259604000
2015-02-03,0.48194366693496704,0.48242299682839207,0.4711592585740575,0.4735557937653707,183468000
2015-02-04,0.48314186930656433,0.4886539048903161,0.47906773741708636,0.48050569824925515,181516000
2015-02-05,0.49105069041252136,0.4912903268661503,0.4831421160635236,0.48362138897078155,140448000
2015-02-06,0.48889365792274475,0.49632295734349824,0.48673675901305097,0.49057122691764815,210524000
